ID,Name,Description,Contributors
1,Consonant Inventories,,Ian Maddieson
2,Vowel Quality Inventories,,Ian Maddieson
3,Consonant-Vowel Ratio,,Ian Maddieson
4,Voicing in Plosives and Fricatives,,Ian Maddieson
5,Voicing and Gaps in Plosive Systems,,Ian Maddieson
6,Uvular Consonants,,Ian Maddieson
7,Glottalized Consonants,,Ian Maddieson
8,Lateral Consonants,,Ian Maddieson
9,The Velar Nasal,,Gregory D.S. Anderson
10,Vowel Nasalization,,John Hajek
11,Front Rounded Vowels,,Ian Maddieson
12,Syllable Structure,,Ian Maddieson
13,Tone,,Ian Maddieson
14,Fixed Stress Locations,,Rob Goedemans and Harry van der Hulst
15,Weight-Sensitive Stress,,Rob Goedemans and Harry van der Hulst
16,Weight Factors in Weight-Sensitive Stress Systems,,Rob Goedemans and Harry van der Hulst
17,Rhythm Types,,Rob Goedemans and Harry van der Hulst
18,Absence of Common Consonants,,Ian Maddieson
19,Presence of Uncommon Consonants,,Ian Maddieson
20,Fusion of Selected Inflectional Formatives,,Balthasar Bickel and Johanna Nichols
21,Exponence of Selected Inflectional Formatives,,Balthasar Bickel and Johanna Nichols
22,Inflectional Synthesis of the Verb,,Balthasar Bickel and Johanna Nichols
23,Locus of Marking in the Clause,,Johanna Nichols and Balthasar Bickel
24,Locus of Marking in Possessive Noun Phrases,,Johanna Nichols and Balthasar Bickel
25,Locus of Marking: Whole-language Typology,,Johanna Nichols and Balthasar Bickel
26,Prefixing vs. Suffixing in Inflectional Morphology,,Matthew S. Dryer
27,Reduplication,,Carl Rubino
28,Case Syncretism,,Matthew Baerman and Dunstan Brown
29,Syncretism in Verbal Person/Number Marking,,Matthew Baerman and Dunstan Brown
30,Number of Genders,,Greville G. Corbett
31,Sex-based and Non-sex-based Gender Systems,,Greville G. Corbett
32,Systems of Gender Assignment,,Greville G. Corbett
33,Coding of Nominal Plurality,,Matthew S. Dryer
34,Occurrence of Nominal Plurality,,Martin Haspelmath
35,Plurality in Independent Personal Pronouns,,Michael Daniel
36,The Associative Plural,,Michael Daniel and Edith Moravcsik
37,Definite Articles,,Matthew S. Dryer
38,Indefinite Articles,,Matthew S. Dryer
39,Inclusive/Exclusive Distinction in Independent Pronouns,,Michael Cysouw
40,Inclusive/Exclusive Distinction in Verbal Inflection,,Michael Cysouw
41,Distance Contrasts in Demonstratives,,Holger Diessel
42,Pronominal and Adnominal Demonstratives,,Holger Diessel
43,Third Person Pronouns and Demonstratives,,D.N.S. Bhat
44,Gender Distinctions in Independent Personal Pronouns,,Anna Siewierska
45,Politeness Distinctions in Pronouns,,Johannes Helmbrecht
46,Indefinite Pronouns,,Martin Haspelmath
47,Intensifiers and Reflexive Pronouns,,Ekkehard König and Peter Siemund with Stephan Töpper
48,Person Marking on Adpositions,,Dik Bakker
49,Number of Cases,,Oliver A. Iggesen
50,Asymmetrical Case-Marking,,Oliver A. Iggesen
51,Position of Case Affixes,,Matthew S. Dryer
