ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
apk,A-Pucikwar,,12.1666666667,92.8333333333,apuc1241,apq
aci,Achí,,15.1666666667,-90.5,achi1256,acr
ash,Adyghe (Shapsugh),,45.0,38.75,adyg1241,ady
aka,Aka,,2.66666666667,16.25,yaka1272,axk
akb,Aka-Biada,,11.6666666667,92.5,akab1249,abj
akc,Aka-Cari,,13.5,93.0,akac1240,aci
akk,Aka-Kede,,12.75,92.75,akak1252,akx
awk,Akwa,,10.0833333333,6.33333333333,pong1250,png
alx,Alas,,3.66666666667,97.8333333333,bata1292,btz
alt,Alsatian,,48.5,7.5,swis1247,gsw
anx,Andi,,42.75,46.25,andi1255,ani
abh,Arabic (Bahrain),,26.0,50.5,baha1259,abv
arn,Arabic (Borno Nigerian),,8.58333333333,12.4166666667,chad1249,shu
akm,Arakanese (Marma),,21.5,92.5,marm1234,rmz
ard,Arandai,,-2.08333333333,133.0,aran1237,jbj
arz,Armenian (Iranian),,32.6666666667,51.6666666667,nucl1235,hye
arr,Arrernte,,-24.0,134.0,east2379,aer
ast,Asturian,,43.25,-6.0,astu1245,ast
aul,Aulua,,-16.3333333333,167.666666667,aulu1238,aul
auy,Auyana,,-6.5,145.75,awiy1238,auy
avt,Avatime,,6.83333333333,0.416666666667,avat1244,avn
ayn,Aynu,,39.5,76.0,ainu1251,aib
bdg,Badaga,,11.6666666667,76.75,bada1257,bfq
bgi,Bagri,,29.5833333333,74.3333333333,bagr1243,bgq
bah,Xiriana,,2.66666666667,-62.5,xiri1243,xir
bjs,Sama (Southern),,4.5,118.5,sout2918,ssb
bmn,Bamun,,5.5,10.9166666667,bamu1253,bax
ban,Bana,,10.4166666667,13.5833333333,bana1305,bcw
bnd,Bandi,,8.08333333333,-10.25,band1352,bza
brl,Baragaunle,,28.8333333333,83.8333333333,lowa1242,loy
bat,Batak,,10.25,119.083333333,bata1301,bya
bth,Bathari,,18.0,56.0,bath1244,bhm
bou,Berber (Wargla),,31.9166666667,5.33333333333,taga1278,oua
bfd,Biafada,,11.4166666667,-15.1666666667,biaf1240,bif
bit,Biatah,,1.25,110.0,biat1246,bth
biq,Bilaan (Koronadal),,6.0,125.333333333,sara1326,bpr
bos,Bosnian,,43.0,18.0,bosn1245,bos
bru,Bru (Eastern),,17.3333333333,106.0,east2332,bru
buy,Buli (in Ghana),,10.5,-1.25,buli1254,bwu
bpa,Bura-Pabir,,10.5,12.25,bura1292,bwr
chz,Chaozhou,,23.6666666667,116.666666667,minn1241,nan
cht,Chatino (Nopala),,16.0833333333,-97.1666666667,nopa1235,cya
ckh,Cheke Holo,,-8.33333333333,159.666666667,chek1238,mrn
csc,Chinantec (Sochiapan),,17.75,-96.6666666667,soch1239,cso
cpw,Chippewa (Red Lake and Pillager),,48.0,-95.0,chip1241,ciw
crh,Chru,,11.5,108.5,chru1239,cje
cly,Chulym,,54.3333333333,89.6666666667,chul1246,clw
cwe,Columbia-Wenatchi,,47.5,-120.0,colu1241,col
dbw,Dan (Blowo),,7.33333333333,-8.16666666667,dann1241,daf
dhm,Dhimal,,26.6666666667,87.75,dhim1246,dhi
dda,Dhuwal (Dätiwuy),,-12.1666666667,136.25,dhuw1249,duj
dgi,Dogri,,33.0,75.0,indo1311,dgo
dol,Dolgan,,71.25,98.0,dolg1241,dlg
dbr,Dutch (Brabantic),,50.75,4.5,dutc1256,nld
dli,Dutch (Limburg),,51.0,5.5,dutc1256,nld
duz,Dutch (Zeeuws),,51.5,3.75,zeeu1238,zea
els,Elseng,,-3.0,140.5,else1239,mrf
eml,Embaloh,,1.16666666667,112.333333333,emba1238,emb
ets,Etsako,,7.25,6.5,yekh1238,ets
fiw,Fijian (Wayan),,-17.0,177.3,west2519,wyy
fea,Frisian (Eastern),,53.5833333333,7.5,east2288,frs
fno,Frisian (North),,54.5,9.0,nort2626,frr
fli,Ful (Liptako),,13.5,0.5,west2454,fuh
fbf,Fula (Burkina Faso),,14.0,0.0,west2454,fuh
fgo,Fulani (Gombe),,10.25,11.25,adam1253,fub
fum,Fulfulde (Maasina),,15.0,-5.0,maas1239,ffm
gml,Gamilaraay,,-29.8333333333,149.5,gami1243,kld
gpz,German (Appenzell),,47.3333333333,9.33333333333,swis1247,gsw
gba,German (Bavarian),,49.0,11.5,bava1246,bar
gbl,German (Berlin),,52.5,13.3333333333,stan1295,deu
gbe,German (Bern),,47.0,7.41666666667,swis1247,gsw
gha,German (Hannover),,52.4166666667,9.66666666667,stan1295,deu
gma,German (Mansfeldisch),,51.5833333333,11.5,stan1295,deu
gos,German (Ostschweiz),,47.4166666667,9.25,swis1247,gsw
grp,German (Ripuarian),,51.0,7.0,kols1241,ksh
gtg,German (Thurgau),,47.5833333333,9.16666666667,swis1247,gsw
gth,German (Thuringian),,51.0,11.0,stan1295,deu
gti,German (Timisoara),,45.75,21.25,stan1295,deu
gau,German (Upper Austrian),,47.0,14.0,bava1246,bar
